# BEARINGS

## FROM EA1/AV-009 - Pico Moros (2060 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/BU-004	119.13	-59.29	Campiña 2049m MHz	222.39 km  EA2EUS
EA1/BU-016	85.45	-93.28	Picón Blanco (1.520 m) MHz	151.46 km  EA1FOV/p
EA1/BU-030	123.39	-55.33	Muela 1375 MHz	187.9 km  EB1ESK
EA1/LE-023	180.0	0.0	Agujas, 2143 m. MHz	0.0 km  EA1AER
EA1/LE-120	-125.19	54.56	Amargones - 1897m MHz	35.57 km  EA1FLU
EA1/SG-001	153.26	-25.77	Peñalara 2428m MHz	270.94 km  EA4IFC, EA4IIJ
EA1/SG-005	155.16	-23.93	Siete Picos 2137 m MHz	275.13 km  EA9ADD
EA1/SG-017	158.02	-21.15	Cabeza Líjar (1822 m) MHz	280.43 km  EA4IZ
EA1/SO-007	111.71	-66.29	Cabezo de Piqueras, 1930 m MHz	262.74 km  EA2BD
EA1/SO-009	111.72	-66.17	ALTO DEL HAYEDO, 1719 m. MHz	277.59 km  EA2DNO, EA2DCA
EA2/NV-021	88.52	-88.85	Saioa 1417m MHz	313.06 km  EA2FDI
EA2/VI-006	101.17	-77.04	TOLOÑO 1269 MHz	220.5 km  EA2CON
EA3/BC-004	96.71	-78.45	Gallina Pelada, 2320m MHz	593.14 km  EA3AJ
EA3/GI-011	95.11	-79.94	Tossa d’Alp - 2.536 m MHz	602.95 km  EA3IKB
EA3/GI-016	99.38	-75.36	Matagalls 1697m MHz	654.76 km  EA3HIG
EA3/LL-050	100.24	-75.59	Castell de Sant Alis 1675 m. MHz	518.55 km  EA3HQR, EA3IED
EA3/TA-036	106.02	-69.39	Roca Ferrana (789 m) MHz	595.01 km  EA3GRW
EA4/GU-002	142.05	-36.66	Cerrón 2.196 metros MHz	263.07 km  EA4HGT
EA4/GU-050	136.25	-42.18	Alto Rey MHz	284.19 km  EA4DE
EA4/MD-002	153.4	-25.62	Cabezas de Hierro 2227 Metros MHz	276.85 km  EA4GDK, EA4IKY
EA4/MD-007	154.28	-24.76	Maliciosa 2227 MHz	278.82 km  EA4HOD
EA4/MD-012	142.86	-35.89	Tres Provincias. 2127 metros. MHz	258.81 km  EA4GVU
