# BEARINGS

## FROM EA1/AT-186 - Los Gayos de la Cuerva (844 msnm) [4 pts] grid: IN63uk
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA2/HU-093	83.62	-93.86	144.760 MHz	309.75 km  EA4BQG
EA2/NV-003	64.04	-114.4	145.400 MHz	209.2 km  EA2EUS
EA2/NV-032	51.97	-127.11	144.680 MHz	139.65 km  EA2BD
EA2/NV-035	54.7	-124.02	144.720 MHz	188.56 km  EA2FDI
EA2/NV-148	65.22	-113.84	144.575 MHz	125.75 km  EA2CCG
EA2/VI-016	30.64	-148.88	144.580 MHz	115.3 km  EA2DXY
EA2/ZG-001	109.45	-69.56	145.450 MHz	129.82 km  EA2FED EA2FEG
EA3/BC-006	88.87	-87.71	145.350,144.350 MHz	420.66 km  EA3GRW
EA3/GI-014	86.82	-89.47	144.780 MHz	455.88 km  EA3O
EA3/LL-041	88.39	-88.36	144.775 MHz	399.22 km  EA3JHJ
EA3/LL-050	91.38	-85.88	144.700 MHz	337.7 km  EA3HIG
EA3/LL-051	91.54	-85.61	145.250 MHz	352.03 km  EA3IXK
EA3/TA-012	115.48	-62.09	144.680 MHz	341.69 km  EA3HQR EA3IQK
EA4/GU-002	-173.24	6.65	145.550,144.550 MHz	115.42 km  EA4HGT
EA4/GU-014	-176.29	3.65	145.400 MHz	107.97 km  EA4HIH
EA4/GU-050	169.41	-10.42	144.740 MHz	115.3 km  EA4AWF
EA4/GU-062	147.39	-31.93	144.720 MHz	158.82 km  EA4WT
EA4/MD-002	-161.19	18.4	145.525,144.525 MHz	162.48 km  EA4NB
EA4/MD-025	-174.35	5.53	145.225 MHz	143.93 km  EA4IIJ EA4GGU
EA4/MD-052	-160.07	19.46	144.520 MHz	174.9 km  EA4HNZ
EA4/MD-054	-167.88	11.88	144.560 MHz	147.57 km  EA4GUO
EA5/AT-010	148.95	-29.25	144.640 MHz	468.77 km  EA5ITW
EA5/AT-017	143.68	-34.2	144.620 MHz	478.87 km  EA5JTS
EA5/AT-020	143.95	-33.99	144.660 MHz	467.58 km  EA5JYX
EA5/MU-021	159.66	-19.12	144.780 MHz	477.78 km  EA5PY
EA6/MA-077	112.74	-63.03	145.225,144.225 MHz	595.56 km  EA6EE EA6APL EA6LU
EA7/GR-002	-179.52	0.44	145.250,144.250 MHz	569.58 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-175.38	4.33	145.350,144.350 MHz	507.37 km  EA7OM EA7JV
EA7/MA-013	-169.26	9.95	145.475 MHz	589.55 km  EC7ZT

## FROM EA1/BU-096 - Arreduy (1043 msnm) [4 pts] grid: IN82qs
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-75.38	102.07	144.575 MHz	311.83 km  EA1FNT
EA1/BU-002	-137.71	41.86	145.475 MHz	77.8 km  EB2FDT
EA1/BU-004	-155.18	24.51	145.425 MHz	89.2 km  EB1ESK
EA1/BU-007	-137.75	41.77	145.325 MHz	87.14 km  EA1FWZ
EA1/BU-096	180.0	0.0	144.620 MHz	0.0 km  EA2CON
EA1/CT-036	-76.54	102.04	144.560 MHz	175.47 km  EA2FHK
EA1/LR-004	-153.13	26.62	Cumbre en duda MHz	69.37 km  EA4IS
EA1/OU-001	-98.21	78.96	145.225,144.225 MHz	349.53 km  EA1FTW
EA1/PO-022	-91.63	84.25	145.350 MHz	500.52 km  EA1FMJ
EA1/SG-001	-151.73	27.37	145.300 MHz	240.95 km  EA4DON EA4DOS
EA1/SG-003	-152.12	27.05	144.540 MHz	223.91 km  EA4IPO
EA1/SG-005	-151.22	27.83	145.275,144.275 MHz	250.66 km  EA9ADD
EA1/SG-010	-149.18	29.79	145.325,144 MHz	254.36 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-150.18	28.78	144.660 MHz	264.79 km  EA4HFO EA4GVU
EA1/SO-003	150.34	-29.16	145.500 MHz	124.85 km  EA2ETB
EA1/SO-026	176.91	-3.01	144.640 MHz	183.58 km  EA7RX
EA1/ZA-002	-99.92	77.44	145.250,144.250 MHz	327.19 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	1.07	-178.93	144.700 MHz	50.98 km  EA2DCA
EA2/HU-093	97.45	-80.5	144.760 MHz	251.64 km  EA4BQG
EA2/NV-003	78.91	-100.0	145.400 MHz	132.72 km  EA2EUS
EA2/NV-032	68.43	-111.14	144.680 MHz	56.05 km  EA2BD
EA2/NV-035	65.83	-113.36	144.720 MHz	105.44 km  EA2FDI
EA2/NV-148	102.82	-76.72	144.575 MHz	57.44 km  EA2CCG
EA2/VI-016	1.65	-178.34	144.580 MHz	34.22 km  EA2DXY
EA2/ZG-001	149.74	-29.75	145.450 MHz	125.9 km  EA2FED EA2FEG
EA3/BC-006	99.36	-77.68	145.350,144.350 MHz	366.92 km  EA3GRW
EA3/GI-014	96.17	-80.57	144.780 MHz	399.1 km  EA3O
EA3/LL-041	99.43	-77.78	144.775 MHz	345.22 km  EA3JHJ
EA3/LL-050	105.13	-72.6	144.700 MHz	288.95 km  EA3HIG
EA3/LL-051	104.68	-72.93	145.250 MHz	303.13 km  EA3IXK
EA3/TA-012	130.72	-47.32	144.680 MHz	328.08 km  EA3HQR EA3IQK
EA4/GU-002	-157.78	21.64	145.550,144.550 MHz	193.37 km  EA4HGT
EA4/GU-014	-158.89	20.58	145.400 MHz	184.57 km  EA4HIH
EA4/GU-050	-167.84	11.85	144.740 MHz	182.09 km  EA4AWF
EA4/GU-062	172.59	-7.21	144.720 MHz	200.67 km  EA4WT
EA4/MD-002	-152.74	26.37	145.525,144.525 MHz	245.08 km  EA4NB
EA4/MD-025	-160.4	19.02	145.225 MHz	220.38 km  EA4IIJ EA4GGU
EA4/MD-052	-152.37	26.69	144.520 MHz	257.83 km  EA4HNZ
EA4/MD-054	-156.47	22.81	144.560 MHz	227.42 km  EA4GUO
EA5/AT-010	158.97	-19.69	144.640 MHz	501.45 km  EA5ITW
EA5/AT-017	153.88	-24.46	144.620 MHz	504.1 km  EA5JTS
EA5/AT-020	154.36	-24.04	144.660 MHz	493.36 km  EA5JYX
EA5/MU-021	168.57	-10.66	144.780 MHz	524.21 km  EA5PY
EA6/MA-077	121.46	-54.75	145.225,144.225 MHz	573.08 km  EA6EE EA6APL EA6LU
EA7/GR-002	-173.88	5.63	145.250,144.250 MHz	637.64 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-169.7	9.55	145.350,144.350 MHz	579.21 km  EA7OM EA7JV
EA7/MA-013	-164.92	13.83	145.475 MHz	665.73 km  EC7ZT

## FROM EA1/CT-036 - Jano, Pico (1445 msnm) [6 pts] grid: IN73pc
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-75.33	103.55	144.575 MHz	136.45 km  EA1FNT
EA1/BU-002	128.33	-50.68	145.475 MHz	153.87 km  EB2FDT
EA1/BU-004	131.02	-47.87	145.425 MHz	180.5 km  EB1ESK
EA1/BU-007	131.81	-47.25	145.325 MHz	153.79 km  EA1FWZ
EA1/BU-096	102.04	-76.54	144.620 MHz	175.47 km  EA2CON
EA1/CT-036	180.0	0.0	144.560 MHz	0.0 km  EA2FHK
EA1/LR-004	124.99	-53.85	Cumbre en duda MHz	173.07 km  EA4IS
EA1/OU-001	-118.79	59.79	145.225,144.225 MHz	197.39 km  EA1FTW
EA1/PO-022	-100.9	76.39	145.350 MHz	334.24 km  EA1FMJ
EA1/SG-001	166.0	-13.51	145.300 MHz	259.28 km  EA4DON EA4DOS
EA1/SG-003	163.15	-16.28	144.540 MHz	247.69 km  EA4IPO
EA1/SG-005	167.73	-11.82	145.275,144.275 MHz	265.28 km  EA9ADD
EA1/SG-010	169.75	-9.88	145.325,144 MHz	262.39 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	170.39	-9.25	144.660 MHz	273.35 km  EA4HFO EA4GVU
EA1/SO-003	121.3	-56.78	145.500 MHz	276.27 km  EA2ETB
EA1/SO-026	139.74	-38.78	144.640 MHz	287.82 km  EA7RX
EA1/ZA-002	-124.08	54.69	145.250,144.250 MHz	180.14 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	85.19	-93.36	144.700 MHz	171.89 km  EA2DCA
EA2/HU-093	98.49	-78.03	144.760 MHz	426.53 km  EA4BQG
EA2/NV-003	91.49	-85.99	145.400 MHz	301.28 km  EA2EUS
EA2/NV-032	93.76	-84.37	144.680 MHz	223.69 km  EA2BD
EA2/NV-035	88.07	-89.69	144.720 MHz	266.85 km  EA2FDI
EA2/NV-148	101.88	-76.23	144.575 MHz	232.91 km  EA2CCG
EA2/VI-016	90.79	-87.77	144.580 MHz	171.75 km  EA2DXY
EA2/ZG-001	121.16	-56.91	145.450 MHz	277.81 km  EA2FED EA2FEG
EA3/BC-006	99.25	-76.35	145.350,144.350 MHz	542.08 km  EA3GRW
EA3/GI-014	96.97	-78.34	144.780 MHz	573.58 km  EA3O
EA3/LL-041	99.36	-76.42	144.775 MHz	520.39 km  EA3JHJ
EA3/LL-050	103.07	-73.23	144.700 MHz	464.37 km  EA3HIG
EA3/LL-051	102.81	-73.38	145.250 MHz	478.57 km  EA3IXK
EA3/TA-012	119.88	-56.75	144.680 MHz	490.68 km  EA3HQR EA3IQK
EA4/GU-002	154.67	-24.51	145.550,144.550 MHz	240.5 km  EA4HGT
EA4/GU-014	152.52	-26.6	145.400 MHz	237.13 km  EA4HIH
EA4/GU-050	147.43	-31.47	144.740 MHz	255.72 km  EA4AWF
EA4/GU-062	139.25	-39.14	144.720 MHz	310.07 km  EA4WT
EA4/MD-002	165.87	-13.62	145.525,144.525 MHz	265.2 km  EA4NB
EA4/MD-025	157.32	-21.86	145.225 MHz	266.59 km  EA4IIJ EA4GGU
EA4/MD-052	167.85	-11.7	144.520 MHz	274.06 km  EA4HNZ
EA4/MD-054	160.83	-18.49	144.560 MHz	261.82 km  EA4GUO
EA5/AT-010	144.04	-33.24	144.640 MHz	617.95 km  EA5ITW
EA5/AT-017	140.1	-36.86	144.620 MHz	630.54 km  EA5JTS
EA5/AT-020	140.25	-36.76	144.660 MHz	619.16 km  EA5JYX
EA5/MU-021	152.27	-25.59	144.780 MHz	618.85 km  EA5PY
EA6/MA-077	115.86	-58.95	145.225,144.225 MHz	741.94 km  EA6EE EA6APL EA6LU
EA7/GR-002	169.97	-9.17	145.250,144.250 MHz	682.56 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	172.35	-7.05	145.350,144.350 MHz	614.33 km  EA7OM EA7JV
EA7/MA-013	178.83	-1.06	145.475 MHz	683.6 km  EC7ZT

## FROM EA1/LR-004 - Salineros (2100 msnm) [10 pts] grid: IN82mf
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-62.8	114.93	144.575 MHz	304.74 km  EA1FNT
EA1/BU-002	-78.6	101.23	145.475 MHz	21.44 km  EB2FDT
EA1/BU-004	-162.58	17.37	145.425 MHz	20.03 km  EB1ESK
EA1/BU-007	-95.75	84.03	145.325 MHz	27.36 km  EA1FWZ
EA1/BU-096	26.62	-153.13	144.620 MHz	69.37 km  EA2CON
EA1/CT-036	-53.85	124.99	144.560 MHz	173.07 km  EA2FHK
EA1/LR-004	180.0	0.0	Cumbre en duda MHz	0.0 km  EA4IS
EA1/OU-001	-88.09	89.35	145.225,144.225 MHz	314.81 km  EA1FTW
EA1/PO-022	-84.47	91.68	145.350 MHz	471.37 km  EA1FMJ
EA1/SG-001	-151.43	27.93	145.300 MHz	171.6 km  EA4DON EA4DOS
EA1/SG-003	-151.93	27.5	144.540 MHz	154.55 km  EA4IPO
EA1/SG-005	-150.75	28.56	145.275,144.275 MHz	181.35 km  EA9ADD
EA1/SG-010	-147.96	31.26	145.325,144 MHz	185.22 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-149.4	29.82	144.660 MHz	195.54 km  EA4HFO EA4GVU
EA1/SO-003	116.33	-62.92	145.500 MHz	104.15 km  EA2ETB
EA1/SO-026	160.98	-18.69	144.640 MHz	128.25 km  EA7RX
EA1/ZA-002	-89.18	88.45	145.250,144.250 MHz	290.99 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	15.72	-164.02	144.700 MHz	117.39 km  EA2DCA
EA2/HU-093	83.8	-93.9	144.760 MHz	282.39 km  EA4BQG
EA2/NV-003	61.34	-117.32	145.400 MHz	183.72 km  EA2EUS
EA2/NV-032	45.09	-134.22	144.680 MHz	117.36 km  EA2BD
EA2/NV-035	50.27	-128.67	144.720 MHz	165.24 km  EA2FDI
